url_length,count_dots,count_hyphens,count_at,count_question,is_https,keyword_count
30,1,1,0,0,1,0
36,1,1,0,0,1,0
30,1,1,0,0,1,0
36,1,1,0,0,1,0
31,1,0,0,0,1,0
30,2,0,0,0,1,0
60,2,5,0,0,1,0
30,1,1,0,0,1,0
36,1,1,0,0,1,0
102,2,8,0,1,1,0
71,2,4,0,0,0,0
73,2,4,0,0,1,0
27,2,0,0,0,1,0
69,3,2,0,0,1,1
35,1,0,0,0,1,0
72,3,2,0,0,1,1
66,4,5,0,0,1,2
41,2,0,0,0,1,0
31,1,0,0,1,1,0
30,2,0,0,0,1,0
36,2,0,0,0,1,0
39,2,1,0,0,1,0
31,2,2,0,0,1,0
32,2,2,0,0,1,0
67,2,1,0,1,1,0
33,2,2,0,0,1,0
34,2,2,0,0,1,0
38,2,4,0,0,1,0
32,2,1,0,0,1,0
34,2,2,0,0,1,0
39,3,0,0,0,1,0
29,2,1,0,0,1,0
24,1,1,0,0,0,0
35,2,1,0,0,1,0
37,2,2,0,0,1,0
30,1,1,0,0,1,0
34,2,3,0,0,1,0
36,1,1,0,0,1,0
35,2,1,0,0,1,0
32,2,2,0,0,1,0
36,2,2,0,0,1,0
31,2,2,0,0,1,0
41,2,3,0,0,1,0
31,2,1,0,0,1,0
31,2,2,0,0,1,0
39,2,2,0,0,1,0
34,2,2,0,0,1,0
33,2,2,0,0,1,0
37,2,1,0,0,1,0
36,2,0,0,0,1,0
35,2,2,0,0,1,0
43,1,0,0,0,1,0
39,2,5,0,0,1,0
32,2,2,0,0,1,0
30,1,1,0,0,1,0
37,2,1,0,0,1,0
42,2,2,0,0,1,0
36,1,1,0,0,1,0
38,2,2,0,0,1,0
38,2,2,0,0,1,0
39,2,2,0,0,1,0
34,2,1,0,0,1,0
44,2,2,0,0,1,0
43,2,2,0,0,1,0
39,2,2,0,0,1,0
40,2,2,0,0,1,0
39,2,2,0,0,1,0
36,2,1,0,0,1,0
40,2,2,0,0,1,0
42,2,3,0,0,1,0
41,2,2,0,0,1,0
36,2,2,0,0,1,0
36,2,2,0,0,1,0
34,2,2,0,0,1,0
37,2,1,0,0,1,0
48,2,2,0,0,1,0
44,2,2,0,0,1,0
40,2,2,0,0,1,0
41,2,1,0,0,1,0
40,2,2,0,0,1,0
43,2,3,0,0,1,0
39,2,2,0,0,1,0
41,2,1,0,0,1,0
45,3,1,0,0,1,0
39,2,1,0,0,1,0
42,2,2,0,0,1,0
40,2,2,0,0,1,0
36,2,1,0,0,1,0
31,2,2,0,0,1,0
34,2,1,0,0,1,0
31,2,3,0,0,1,0
35,2,2,0,0,1,0
30,2,1,0,0,1,0
39,2,1,0,0,1,0
33,2,2,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
30,1,1,0,0,1,0
36,1,1,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
38,2,3,0,0,1,0
37,2,1,0,0,1,0
42,2,3,0,0,1,0
158,2,3,0,1,1,0
30,1,1,0,0,1,0
36,1,1,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
30,1,1,0,0,1,0
36,1,1,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
30,1,1,0,0,1,0
36,1,1,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
43,1,0,0,0,1,0
44,3,1,0,0,1,0
30,1,1,0,0,1,0
36,1,1,0,0,1,0
168,3,0,0,1,1,0
37,2,2,0,0,1,1
28,1,0,0,0,1,0
45,2,2,0,0,1,0
34,2,0,0,0,1,1
25,2,0,0,0,1,0
33,2,0,0,0,1,0
41,2,0,0,0,1,0
65,2,0,0,0,1,0
85,4,1,1,0,1,0
99,3,1,0,0,1,0
41,1,0,0,0,0,0
32,2,0,0,0,1,0
53,2,0,0,0,1,0
41,2,2,0,0,1,0
40,2,0,0,0,1,0
52,2,0,0,0,1,0
44,2,0,0,0,1,0
30,2,0,0,0,1,0
28,2,0,0,0,1,0
30,2,0,0,0,1,0
28,2,0,0,0,1,0
32,2,0,0,0,1,0
31,2,0,0,0,1,0
36,2,0,0,0,1,0
32,2,0,0,0,1,0
32,2,0,0,0,1,0
28,2,0,0,0,1,0
37,2,0,0,0,1,0
85,2,3,0,0,1,0
29,2,1,0,0,1,0
31,2,0,0,0,1,0
40,2,0,0,0,1,0
41,2,0,0,0,1,0
70,2,6,0,0,1,0
30,2,0,0,0,1,0
35,2,1,0,0,1,0
37,2,1,0,0,1,0
30,2,1,0,0,1,0
40,2,1,0,0,1,0
36,2,1,0,0,0,0
47,2,0,0,0,0,0
76,2,5,0,0,1,0
48,2,0,0,0,0,0
86,2,6,0,0,0,0
34,2,0,0,0,0,0
35,2,1,0,0,0,0
43,2,1,0,0,0,0
36,2,0,0,0,1,0
37,2,1,0,0,0,0
43,2,1,0,0,0,0
43,2,0,0,0,0,0
53,3,0,0,1,1,1
23,1,0,0,0,1,0
39,2,2,0,0,1,1
23,1,0,0,0,1,0
28,1,0,0,0,1,0
27,1,0,0,0,1,0
28,1,1,0,0,1,0
37,2,1,0,0,1,0
43,2,1,0,0,0,0
95,2,7,0,0,1,0
36,2,0,0,0,0,0
35,2,1,0,0,1,0
44,2,0,0,0,0,0
37,2,1,0,0,1,0
35,2,1,0,0,1,0
28,2,1,0,0,1,0
43,2,1,0,0,0,0
27,2,1,0,0,1,0
48,2,0,0,0,0,0
87,2,0,0,1,1,0
66,2,4,0,0,1,0
54,2,2,0,0,0,0
29,2,1,0,0,1,0
46,2,2,0,0,0,0
42,2,1,0,0,1,0
44,2,1,0,0,1,0
35,2,1,0,0,0,0
41,2,2,0,0,0,0
44,2,0,0,0,0,0
42,2,2,0,0,1,0
43,2,1,0,0,0,0
103,2,5,0,0,0,0
106,3,1,0,0,1,0
107,3,1,0,0,1,0
69,3,1,0,0,1,0
70,5,0,0,0,1,0
53,2,0,0,0,1,0
66,3,3,0,1,1,0
25,1,0,0,0,1,0
