url_length,digit_ratio,entropy,count_dots,count_hyphens,count_at,is_https,suspicious_tld,keyword_count
30,0.1,4.11440934524794,1,1,0,1,0,0
36,0.08333333333333333,4.1070177095953575,1,1,0,1,0,0
30,0.1,4.11440934524794,1,1,0,1,0,0
36,0.08333333333333333,4.1070177095953575,1,1,0,1,0,0
31,0.0,3.9779168746936366,1,0,0,1,0,0
30,0.0,4.098068512058838,2,0,0,1,0,0
60,0.25,4.671241170818225,2,5,0,1,0,0
30,0.1,4.11440934524794,1,1,0,1,0,0
36,0.08333333333333333,4.1070177095953575,1,1,0,1,0,0
102,0.00980392156862745,4.4911567080408545,2,8,0,1,0,0
71,0.28169014084507044,4.55632903574259,2,4,0,0,0,0
73,0.273972602739726,4.564585395161723,2,4,0,1,0,0
27,0.0,3.828237501842954,2,0,0,1,0,0
69,0.18840579710144928,4.6838322462883415,3,2,0,1,0,1
35,0.0,4.085588016574086,1,0,0,1,0,0
72,0.0,4.358541106651874,3,2,0,1,0,1
66,0.15151515151515152,4.502748574481871,4,5,0,1,0,2
41,0.0,4.07391321234758,2,0,0,1,0,0
31,0.2903225806451613,4.542748326446119,1,0,0,1,0,0
30,0.1,4.1898980954642875,2,0,0,1,0,0
36,0.25,4.516875695766564,2,0,0,1,1,0
39,0.0,4.038499898783,2,1,0,1,0,0
31,0.0,3.974695407915899,2,2,0,1,0,0
32,0.0,4.015319531114783,2,2,0,1,0,0
67,0.29850746268656714,5.073114190264031,2,1,0,1,0,0
33,0.0,3.945464952495108,2,2,0,1,0,0
34,0.0,4.065260267657297,2,2,0,1,0,0
38,0.0,3.902679737686645,2,4,0,1,0,0
32,0.0,3.976409765557391,2,1,0,1,0,0
34,0.029411764705882353,4.216591062590434,2,2,0,1,0,0
39,0.0,4.252974975106083,3,0,0,1,0,0
29,0.0,4.004364184708143,2,1,0,1,0,0
24,0.0,3.9387218755408675,1,1,0,0,0,0
35,0.0,4.025591860285233,2,1,0,1,0,0
37,0.0,4.1317695012795665,2,2,0,1,0,0
30,0.1,4.11440934524794,1,1,0,1,0,0
34,0.0,4.197325708706505,2,3,0,1,0,0
36,0.08333333333333333,4.1070177095953575,1,1,0,1,0,0
35,0.0,4.071581588126285,2,1,0,1,0,0
32,0.0,3.890319531114783,2,2,0,1,0,0
36,0.0,4.07243125132212,2,2,0,1,0,0
31,0.0,3.974695407915899,2,2,0,1,0,0
41,0.0,4.092325102644248,2,3,0,1,0,0
31,0.03225806451612903,4.103727665980415,2,1,0,1,0,0
31,0.0,3.897587036123538,2,2,0,1,0,0
39,0.0,4.1091380398641135,2,2,0,1,0,0
34,0.0,3.9398290174664026,2,2,0,1,0,0
33,0.0,3.9047080443755195,2,2,0,1,0,0
37,0.0,4.290534446710032,2,1,0,1,0,0
36,0.027777777777777776,4.027719015921098,2,0,0,1,0,0
35,0.02857142857142857,4.171860873964197,2,2,0,1,0,0
43,0.23255813953488372,4.69115683669194,1,0,0,1,1,0
39,0.0,3.9846571944212075,2,5,0,1,0,0
32,0.0,3.8789280318460246,2,2,0,1,0,0
30,0.1,4.11440934524794,1,1,0,1,0,0
37,0.0,3.992708770800467,2,1,0,1,0,0
42,0.0,4.079950387570099,2,2,0,1,0,0
36,0.08333333333333333,4.1070177095953575,1,1,0,1,0,0
38,0.0,3.935445856050764,2,2,0,1,0,0
38,0.0,3.935445856050764,2,2,0,1,0,0
39,0.0,3.792098860976928,2,2,0,1,0,0
34,0.0,3.903208061647681,2,1,0,1,0,0
44,0.0,4.152391277629869,2,2,0,1,0,0
43,0.0,4.164295859202321,2,2,0,1,0,0
39,0.0,4.04106055186274,2,2,0,1,0,0
40,0.0,4.096439344671016,2,2,0,1,0,0
39,0.0,4.009134590379753,2,2,0,1,0,0
36,0.0,4.006749918638779,2,1,0,1,0,0
40,0.0,3.9341837197791896,2,2,0,1,0,0
42,0.0,3.9487652684194576,2,3,0,1,0,0
41,0.0,4.013176017331164,2,2,0,1,0,0
36,0.0,3.926733681937772,2,2,0,1,0,0
36,0.0,3.916607904809987,2,2,0,1,0,0
34,0.029411764705882353,4.079678649882975,2,2,0,1,0,0
